iter	Passed	Remaining
685	43284	32431
686	43344	32366
687	43403	32300
688	43464	32235
689	43523	32169
690	43582	32103
691	43644	32039
692	43702	31973
693	43765	31909
694	43828	31846
695	43891	31783
696	43950	31717
697	44009	31651
698	44072	31588
699	44136	31526
700	44203	31465
701	44265	31402
702	44326	31337
703	44385	31271
704	44448	31208
705	44507	31142
706	44567	31077
707	44628	31013
708	44690	30949
709	44751	30885
710	44819	30825
711	44879	30760
712	44939	30694
713	44996	30628
714	45055	30561
715	45116	30497
716	45182	30436
717	45246	30374
718	45306	30309
719	45365	30243
720	45426	30179
721	45485	30113
722	45545	30048
723	45604	29983
724	45665	29919
725	45741	29864
726	45802	29799
727	45867	29737
728	45929	29674
729	45993	29612
730	46056	29548
731	46117	29484
732	46176	29419
733	46254	29365
734	46315	29301
735	46374	29236
736	46435	29171
737	46493	29105
738	46552	29040
739	46614	28976
740	46673	28911
741	46731	28845
742	46791	28780
743	46850	28714
744	46911	28650
745	46972	28586
746	47035	28523
747	47094	28457
748	47156	28394
749	47215	28329
750	47285	28270
751	47349	28208
752	47412	28145
753	47472	28080
754	47532	28015
755	47593	27951
756	47655	27888
757	47716	27824
758	47777	27760
759	47839	27696
760	47901	27633
761	47962	27568
762	48020	27503
763	48080	27438
764	48140	27374
765	48198	27308
766	48265	27247
767	48333	27187
768	48394	27123
769	48454	27059
770	48515	26995
771	48575	26930
772	48636	26866
773	48848	26885
774	49027	26886
775	49135	26847
776	49195	26782
777	49255	26716
778	49324	26656
779	49385	26592
780	49447	26528
781	49507	26463
782	49567	26397
783	49731	26388
784	49946	26404
785	50110	26394
786	50174	26330
787	50235	26265
788	50300	26202
789	50367	26140
790	50425	26073
791	50488	26008
792	50548	25943
793	50611	25879
794	50723	25840
795	50933	25850
796	51078	25827
797	51139	25761
798	51200	25696
799	51262	25631
800	51333	25570
801	51395	25505
802	51455	25439
803	51518	25374
804	51585	25312
805	51647	25246
806	51706	25180
807	51767	25114
808	51827	25048
809	51885	24981
810	51946	24916
811	52005	24850
812	52069	24785
813	52129	24719
814	52190	24654
815	52249	24587
816	52309	24522
817	52382	24462
818	52443	24396
819	52504	24331
820	52563	24265
821	52625	24199
822	52683	24133
823	52741	24066
824	52802	24001
825	52865	23936
826	52923	23870
827	52986	23805
828	53047	23740
829	53106	23674
830	53167	23608
831	53228	23543
832	53292	23479
833	53353	23414
834	53422	23352
835	53483	23287
836	53544	23221
837	53603	23155
838	53663	23089
839	53723	23024
840	53791	22962
841	53852	22896
842	53911	22831
843	53969	22764
844	54028	22698
845	54090	22633
846	54150	22568
847	54209	22502
848	54268	22435
849	54331	22371
850	54402	22310
851	54462	22245
852	54523	22180
853	54585	22115
854	54647	22050
855	54709	21985
856	54770	21921
857	54830	21855
858	54889	21789
859	54949	21724
860	55008	21658
861	55071	21594
862	55133	21529
863	55194	21464
864	55256	21399
865	55316	21334
866	55376	21269
867	55449	21208
868	55514	21145
869	55573	21079
870	55635	21014
871	55695	20949
872	55757	20885
873	55819	20820
874	55876	20754
875	55936	20688
876	55996	20623
877	56057	20558
878	56118	20493
879	56178	20428
880	56238	20363
881	56301	20299
882	56380	20240
883	56449	20178
884	56513	20115
885	56574	20050
886	56633	19984
